game_id,hand_id,player,stack,hand_profit,bb_profit,cumulative_profit
GLOBAL,90,ClaudeBot,2880,-100,-5.0,-495
GLOBAL,91,GPTBot,3030,30,1.5,15065
GLOBAL,91,GeminiBot,2990,0,0.0,-11840
GLOBAL,91,ClaudeBot,2980,0,0.0,-495
GLOBAL,92,GPTBot,3910,910,45.5,15975
GLOBAL,92,GeminiBot,2990,0,0.0,-11840
GLOBAL,92,ClaudeBot,2100,-880,-44.0,-1375
GLOBAL,93,GPTBot,3030,30,1.5,16005
GLOBAL,93,GeminiBot,2990,0,0.0,-11840
GLOBAL,93,ClaudeBot,2980,0,0.0,-1375
GLOBAL,94,GPTBot,3300,300,15.0,16305
GLOBAL,94,GeminiBot,2940,-50,-2.5,-11890
GLOBAL,94,ClaudeBot,2760,-220,-11.0,-1595
GLOBAL,95,GPTBot,4220,1220,61.0,17525
GLOBAL,95,GeminiBot,1800,-1190,-59.5,-13080
GLOBAL,95,ClaudeBot,2980,0,0.0,-1595
GLOBAL,96,GPTBot,3220,220,11.0,17745
GLOBAL,96,GeminiBot,2800,-190,-9.5,-13270
GLOBAL,96,ClaudeBot,2980,0,0.0,-1595
GLOBAL,97,GPTBot,2940,-60,-3.0,17685
GLOBAL,97,GeminiBot,3080,90,4.5,-13180
GLOBAL,97,ClaudeBot,2980,0,0.0,-1595
GLOBAL,98,GPTBot,3310,310,15.5,17995
GLOBAL,98,GeminiBot,2990,0,0.0,-13180
GLOBAL,98,ClaudeBot,2700,-280,-14.0,-1875
GLOBAL,99,GPTBot,3220,220,11.0,18215
GLOBAL,99,GeminiBot,2800,-190,-9.5,-13370
GLOBAL,99,ClaudeBot,2980,0,0.0,-1875
GLOBAL,100,GPTBot,3480,480,24.0,18695
GLOBAL,100,GeminiBot,2760,-230,-11.5,-13600
GLOBAL,100,ClaudeBot,2760,-220,-11.0,-2095
GLOBAL,101,GPTBot,3170,170,8.5,18865
GLOBAL,101,GeminiBot,2990,0,0.0,-13600
GLOBAL,101,ClaudeBot,2840,-140,-7.0,-2235
GLOBAL,102,GPTBot,6010,3010,150.5,21875
GLOBAL,102,GeminiBot,2990,0,0.0,-13600
GLOBAL,102,ClaudeBot,0,-2980,-149.0,-5215
GLOBAL,103,GPTBot,3030,30,1.5,21905
GLOBAL,103,GeminiBot,2990,0,0.0,-13600
GLOBAL,103,ClaudeBot,2980,0,0.0,-5215
GLOBAL,104,GPTBot,3220,220,11.0,22125
GLOBAL,104,GeminiBot,2800,-190,-9.5,-13790
GLOBAL,104,ClaudeBot,2980,0,0.0,-5215
GLOBAL,105,GPTBot,3030,30,1.5,22155
GLOBAL,105,GeminiBot,2990,0,0.0,-13790
GLOBAL,105,ClaudeBot,2980,0,0.0,-5215
GLOBAL,106,GPTBot,3220,220,11.0,22375
GLOBAL,106,GeminiBot,2800,-190,-9.5,-13980
GLOBAL,106,ClaudeBot,2980,0,0.0,-5215
GLOBAL,107,GPTBot,3005,5,0.25,22380
GLOBAL,107,GeminiBot,2990,0,0.0,-13980
GLOBAL,107,ClaudeBot,3005,25,1.25,-5190
GLOBAL,108,GPTBot,3660,660,33.0,23040
GLOBAL,108,GeminiBot,2990,0,0.0,-13980
GLOBAL,108,ClaudeBot,2350,-630,-31.5,-5820
GLOBAL,109,GPTBot,3170,170,8.5,23210
GLOBAL,109,GeminiBot,2990,0,0.0,-13980
GLOBAL,109,ClaudeBot,2840,-140,-7.0,-5960
GLOBAL,110,GPTBot,3220,220,11.0,23430
GLOBAL,110,GeminiBot,2800,-190,-9.5,-14170
GLOBAL,110,ClaudeBot,2980,0,0.0,-5960
GLOBAL,111,GPTBot,3030,30,1.5,23460
GLOBAL,111,GeminiBot,2990,0,0.0,-14170
GLOBAL,111,ClaudeBot,2980,0,0.0,-5960
GLOBAL,112,GPTBot,3400,400,20.0,23860
GLOBAL,112,GeminiBot,2800,-190,-9.5,-14360
GLOBAL,112,ClaudeBot,2800,-180,-9.0,-6140
GLOBAL,113,GPTBot,3030,30,1.5,23890
GLOBAL,113,GeminiBot,2990,0,0.0,-14360
GLOBAL,113,ClaudeBot,2980,0,0.0,-6140
GLOBAL,114,GPTBot,3570,570,28.5,24460
GLOBAL,114,GeminiBot,2990,0,0.0,-14360
GLOBAL,114,ClaudeBot,2440,-540,-27.0,-6680
GLOBAL,115,GPTBot,3030,30,1.5,24490
GLOBAL,115,GeminiBot,2990,0,0.0,-14360
GLOBAL,115,ClaudeBot,2980,0,0.0,-6680
GLOBAL,116,GPTBot,3120,120,6.0,24610
GLOBAL,116,GeminiBot,2990,0,0.0,-14360
GLOBAL,116,ClaudeBot,2890,-90,-4.5,-6770
GLOBAL,117,GPTBot,3170,170,8.5,24780
GLOBAL,117,GeminiBot,2990,0,0.0,-14360
GLOBAL,117,ClaudeBot,2840,-140,-7.0,-6910
GLOBAL,118,GPTBot,3910,910,45.5,25690
GLOBAL,118,GeminiBot,2990,0,0.0,-14360
GLOBAL,118,ClaudeBot,2100,-880,-44.0,-7790
GLOBAL,119,GPTBot,3030,30,1.5,25720
GLOBAL,119,GeminiBot,2990,0,0.0,-14360
GLOBAL,119,ClaudeBot,2980,0,0.0,-7790
GLOBAL,120,GPTBot,3220,220,11.0,25940
GLOBAL,120,GeminiBot,2800,-190,-9.5,-14550
GLOBAL,120,ClaudeBot,2980,0,0.0,-7790
GLOBAL,121,GPTBot,2700,-300,-15.0,25640
GLOBAL,121,GeminiBot,2990,0,0.0,-14550
GLOBAL,121,ClaudeBot,3310,330,16.5,-7460
GLOBAL,122,GPTBot,3480,480,24.0,26120
GLOBAL,122,GeminiBot,2990,0,0.0,-14550
GLOBAL,122,ClaudeBot,2530,-450,-22.5,-7910
GLOBAL,123,GPTBot,0,-3000,-150.0,23120
GLOBAL,123,GeminiBot,2990,0,0.0,-14550
GLOBAL,123,ClaudeBot,6010,3030,151.5,-4880
GLOBAL,124,GPTBot,3030,30,1.5,23150
GLOBAL,124,GeminiBot,2990,0,0.0,-14550
GLOBAL,124,ClaudeBot,2980,0,0.0,-4880
GLOBAL,125,GPTBot,3220,220,11.0,23370
GLOBAL,125,GeminiBot,2800,-190,-9.5,-14740
GLOBAL,125,ClaudeBot,2980,0,0.0,-4880
GLOBAL,126,GPTBot,3220,220,11.0,23590
GLOBAL,126,GeminiBot,2800,-190,-9.5,-14930
GLOBAL,126,ClaudeBot,2980,0,0.0,-4880
GLOBAL,127,GPTBot,0,-3000,-150.0,20590
GLOBAL,127,GeminiBot,2990,0,0.0,-14930
GLOBAL,127,ClaudeBot,6010,3030,151.5,-1850
GLOBAL,128,GPTBot,3910,910,45.5,21500
GLOBAL,128,GeminiBot,2990,0,0.0,-14930
GLOBAL,128,ClaudeBot,2100,-880,-44.0,-2730
GLOBAL,129,GPTBot,3030,30,1.5,21530
GLOBAL,129,GeminiBot,2990,0,0.0,-14930
GLOBAL,129,ClaudeBot,2980,0,0.0,-2730
GLOBAL,130,GPTBot,3030,30,1.5,21560
GLOBAL,130,GeminiBot,2990,0,0.0,-14930
GLOBAL,130,ClaudeBot,2980,0,0.0,-2730
GLOBAL,131,GPTBot,3030,30,1.5,21590
GLOBAL,131,GeminiBot,2990,0,0.0,-14930
GLOBAL,131,ClaudeBot,2980,0,0.0,-2730
GLOBAL,132,GPTBot,3230,230,11.5,21820
GLOBAL,132,GeminiBot,2990,0,0.0,-14930
GLOBAL,132,ClaudeBot,2780,-200,-10.0,-2930
GLOBAL,133,GPTBot,3210,210,10.5,22030
GLOBAL,133,GeminiBot,2990,0,0.0,-14930
GLOBAL,133,ClaudeBot,2800,-180,-9.0,-3110
GLOBAL,134,GPTBot,3610,610,30.5,22640
GLOBAL,134,GeminiBot,2990,0,0.0,-14930
GLOBAL,134,ClaudeBot,2400,-580,-29.0,-3690
GLOBAL,135,GPTBot,3210,210,10.5,22850
GLOBAL,135,GeminiBot,2990,0,0.0,-14930
GLOBAL,135,ClaudeBot,2800,-180,-9.0,-3870
GLOBAL,136,GPTBot,3270,270,13.5,23120
GLOBAL,136,GeminiBot,2750,-240,-12.0,-15170
GLOBAL,136,ClaudeBot,2980,0,0.0,-3870
GLOBAL,137,GPTBot,3070,70,3.5,23190
GLOBAL,137,GeminiBot,2990,0,0.0,-15170
GLOBAL,137,ClaudeBot,2940,-40,-2.0,-3910
GLOBAL,138,GPTBot,2940,-60,-3.0,23130
GLOBAL,138,GeminiBot,1500,-1490,-74.5,-16660
GLOBAL,138,ClaudeBot,4560,1580,79.0,-2330
GLOBAL,139,GPTBot,3220,220,11.0,23350
GLOBAL,139,GeminiBot,2800,-190,-9.5,-16850
GLOBAL,139,ClaudeBot,2980,0,0.0,-2330
GLOBAL,140,GPTBot,3210,210,10.5,23560
GLOBAL,140,GeminiBot,2990,0,0.0,-16850
GLOBAL,140,ClaudeBot,2800,-180,-9.0,-2510
GLOBAL,141,GPTBot,3170,170,8.5,23730
GLOBAL,141,GeminiBot,2850,-140,-7.0,-16990
GLOBAL,141,ClaudeBot,2980,0,0.0,-2510
GLOBAL,142,GPTBot,3250,250,12.5,23980
GLOBAL,142,GeminiBot,2990,0,0.0,-16990
GLOBAL,142,ClaudeBot,2760,-220,-11.0,-2730
GLOBAL,143,GPTBot,3030,30,1.5,24010
GLOBAL,143,GeminiBot,2990,0,0.0,-16990
GLOBAL,143,ClaudeBot,2980,0,0.0,-2730
GLOBAL,144,GPTBot,3170,170,8.5,24180
GLOBAL,144,GeminiBot,2850,-140,-7.0,-17130
GLOBAL,144,ClaudeBot,2980,0,0.0,-2730
GLOBAL,145,GPTBot,3030,30,1.5,24210
GLOBAL,145,GeminiBot,2990,0,0.0,-17130
GLOBAL,145,ClaudeBot,2980,0,0.0,-2730
GLOBAL,146,GPTBot,3150,150,7.5,24360
GLOBAL,146,GeminiBot,2990,0,0.0,-17130
GLOBAL,146,ClaudeBot,2860,-120,-6.0,-2850
GLOBAL,147,GPTBot,3220,220,11.0,24580
GLOBAL,147,GeminiBot,2800,-190,-9.5,-17320
GLOBAL,147,ClaudeBot,2980,0,0.0,-2850
GLOBAL,148,GPTBot,3710,710,35.5,25290
GLOBAL,148,GeminiBot,2990,0,0.0,-17320
GLOBAL,148,ClaudeBot,2300,-680,-34.0,-3530
GLOBAL,149,GPTBot,3170,170,8.5,25460
GLOBAL,149,GeminiBot,2990,0,0.0,-17320
GLOBAL,149,ClaudeBot,2840,-140,-7.0,-3670
GLOBAL,150,GPTBot,3610,610,30.5,26070
GLOBAL,150,GeminiBot,2990,0,0.0,-17320
GLOBAL,150,ClaudeBot,2400,-580,-29.0,-4250
GLOBAL,151,GPTBot,3220,220,11.0,26290
GLOBAL,151,GeminiBot,2800,-190,-9.5,-17510
GLOBAL,151,ClaudeBot,2980,0,0.0,-4250
GLOBAL,152,GPTBot,2940,-60,-3.0,26230
GLOBAL,152,GeminiBot,3660,670,33.5,-16840
GLOBAL,152,ClaudeBot,2400,-580,-29.0,-4830
GLOBAL,153,GPTBot,3150,150,7.5,26380
GLOBAL,153,GeminiBot,2990,0,0.0,-16840
GLOBAL,153,ClaudeBot,2860,-120,-6.0,-4950
GLOBAL,154,GPTBot,3910,910,45.5,27290
GLOBAL,154,GeminiBot,2990,0,0.0,-16840
GLOBAL,154,ClaudeBot,2100,-880,-44.0,-5830
GLOBAL,155,GPTBot,3070,70,3.5,27360
GLOBAL,155,GeminiBot,2990,0,0.0,-16840
