hand_id,player,stack,profit
263,ClaudeBot,3260,260
264,GPTBot,3220,220
264,GeminiBot,2800,-200
264,ClaudeBot,2980,-20
265,GPTBot,3150,150
265,GeminiBot,2990,-10
265,ClaudeBot,2860,-140
266,GPTBot,3070,70
266,GeminiBot,2990,-10
266,ClaudeBot,2940,-60
267,GPTBot,3710,710
267,GeminiBot,2990,-10
267,ClaudeBot,2300,-700
268,GPTBot,3220,220
268,GeminiBot,2800,-200
268,ClaudeBot,2980,-20
269,GPTBot,3030,30
269,GeminiBot,2990,-10
269,ClaudeBot,2980,-20
270,GPTBot,4220,1220
270,GeminiBot,1800,-1200
270,ClaudeBot,2980,-20
271,GPTBot,3610,610
271,GeminiBot,2990,-10
271,ClaudeBot,2400,-600
272,GPTBot,3150,150
272,GeminiBot,2990,-10
272,ClaudeBot,2860,-140
273,GPTBot,2810,-190
273,GeminiBot,2990,-10
273,ClaudeBot,3200,200
274,GPTBot,3220,220
274,GeminiBot,2800,-200
274,ClaudeBot,2980,-20
275,GPTBot,3910,910
275,GeminiBot,2990,-10
275,ClaudeBot,2100,-900
276,GPTBot,3170,170
276,GeminiBot,2990,-10
276,ClaudeBot,2840,-160
277,GPTBot,3600,600
277,GeminiBot,2850,-150
277,ClaudeBot,2550,-450
278,GPTBot,3325,325
278,GeminiBot,2725,-275
278,ClaudeBot,2950,-50
279,GPTBot,3210,210
279,GeminiBot,2990,-10
279,ClaudeBot,2800,-200
280,GPTBot,3610,610
280,GeminiBot,2990,-10
280,ClaudeBot,2400,-600
281,GPTBot,3220,220
281,GeminiBot,2800,-200
281,ClaudeBot,2980,-20
282,GPTBot,3310,310
282,GeminiBot,2990,-10
282,ClaudeBot,2700,-300
283,GPTBot,2940,-60
283,GeminiBot,2800,-200
283,ClaudeBot,3260,260
284,GPTBot,3220,220
284,GeminiBot,2800,-200
284,ClaudeBot,2980,-20
285,GPTBot,4160,1160
285,GeminiBot,2940,-60
285,ClaudeBot,1900,-1100
286,GPTBot,3300,300
286,GeminiBot,2760,-240
286,ClaudeBot,2940,-60
287,GPTBot,5000,2000
287,GeminiBot,2000,-1000
287,ClaudeBot,2000,-1000
288,GPTBot,3190,190
288,GeminiBot,2990,-10
288,ClaudeBot,2820,-180
289,GPTBot,3710,710
289,GeminiBot,2990,-10
289,ClaudeBot,2300,-700
290,GPTBot,3760,760
290,GeminiBot,2990,-10
290,ClaudeBot,2250,-750
291,GPTBot,3210,210
291,GeminiBot,2990,-10
291,ClaudeBot,2800,-200
292,GPTBot,3230,230
292,GeminiBot,2990,-10
292,ClaudeBot,2780,-220
293,GPTBot,3220,220
293,GeminiBot,2800,-200
293,ClaudeBot,2980,-20
294,GPTBot,3220,220
294,GeminiBot,2800,-200
294,ClaudeBot,2980,-20
295,GPTBot,3030,30
295,GeminiBot,2990,-10
295,ClaudeBot,2980,-20
296,GPTBot,3400,400
296,GeminiBot,2800,-200
296,ClaudeBot,2800,-200
297,GPTBot,3220,220
297,GeminiBot,2800,-200
297,ClaudeBot,2980,-20
298,GPTBot,3030,30
298,GeminiBot,2990,-10
298,ClaudeBot,2980,-20
299,GPTBot,3610,610
299,GeminiBot,2990,-10
299,ClaudeBot,2400,-600
300,GPTBot,3400,400
300,GeminiBot,2800,-200
300,ClaudeBot,2800,-200
301,GPTBot,4630,1630
301,GeminiBot,2990,-10
301,ClaudeBot,1380,-1620
302,GPTBot,3400,400
302,GeminiBot,2800,-200
302,ClaudeBot,2800,-200
303,GPTBot,3030,30
303,GeminiBot,2990,-10
303,ClaudeBot,2980,-20
304,GPTBot,3030,30
304,GeminiBot,2990,-10
304,ClaudeBot,2980,-20
305,GPTBot,3070,70
305,GeminiBot,2990,-10
305,ClaudeBot,2940,-60
306,GPTBot,3220,220
306,GeminiBot,2800,-200
306,ClaudeBot,2980,-20
307,GPTBot,3210,210
307,GeminiBot,2990,-10
307,ClaudeBot,2800,-200
308,GPTBot,3450,450
308,GeminiBot,2990,-10
308,ClaudeBot,2560,-440
309,GPTBot,3220,220
309,GeminiBot,2800,-200
309,ClaudeBot,2980,-20
310,GPTBot,3120,120
310,GeminiBot,2990,-10
310,ClaudeBot,2890,-110
311,GPTBot,2950,-50
311,GeminiBot,3070,70
311,ClaudeBot,2980,-20
312,GPTBot,3070,70
312,GeminiBot,2990,-10
